Date,Close/Last,Volume,Open,High,Low
04/20/2020,$116.5457,8181736,$115.3261,$118.9204,$114.3485
04/17/2020,$116.265,4965992,$115.4713,$116.5263,$114.1356
04/16/2020,$112.0159,6457556,$115.1906,$115.9069,$110.7479
04/15/2020,$114.8809,5637341,$115.2971,$116.3281,$113.0128
04/14/2020,$119.9333,5088660,$119.4978,$121.1626,$118.6847
04/13/2020,$117.2619,5119713,$117.7265,$117.8911,$114.2517
04/09/2020,$117.6007,5576815,$116.6134,$118.9751,$116.3107
04/08/2020,$115.4616,5158641,$112.5773,$116.1101,$111.3811
04/07/2020,$111.2512,5595329,$114.9873,$115.7326,$111.1835
04/06/2020,$111.1351,7034193,$106.8085,$111.9191,$106.5956
04/03/2020,$102.9272,4538750,$105.4244,$106.5375,$101.5528
04/02/2020,$106.4698,6328674,$101.9884,$106.7795,$101.7657
04/01/2020,$101.7657,6112947,$102.9466,$106.3923,$101.1666
03/31/2020,$107.3699,6346676,$108.4056,$110.1575,$106.6343
03/30/2020,$109.3057,5564541,$104.6211,$109.8187,$104.35
03/27/2020,$104.563,6423038,$105.0953,$107.9216,$104.1903
03/26/2020,$109.267,7158052,$103.4789,$109.5187,$102.1819
03/25/2020,$102.4529,8654047,$102.0948,$108.8681,$99.5299
03/24/2020,$102.0948,7973944,$96.781,$102.6368,$96.0744
03/23/2020,$91.7285,9729393,$91.564,$94.6032,$87.6536
03/20/2020,$92.3286,10546460,$97.6812,$97.7489,$91.6705
03/19/2020,$97.1198,8396521,$99.0459,$100.3623,$95.0823
03/18/2020,$100.2268,8772460,$96.2196,$103.5026,$96.2099
03/17/2020,$103.2273,9258338,$97.3811,$103.9484,$93.9838
03/16/2020,$95.9002,10567960,$94.8549,$103.9629,$91.9512
03/13/2020,$104.4855,12502110,$105.1921,$105.6567,$97.5747
03/12/2020,$99.5105,12512660,$106.131,$106.2762,$98.9975
03/11/2020,$114.184,8451038,$117.1264,$118.646,$112.6487
03/10/2020,$120.7657,11410690,$118.8396,$120.8722,$112.0449
03/09/2020,$114.0291,10757490,$116.3037,$118.4815,$113.5161
03/06/2020,$123.6307,8193257,$122.6338,$124.2115,$120.5238
03/05/2020,$125.3923,5446227,$126.3119,$128.0444,$124.3276
03/04/2020,$129.9125,4996370,$127.3572,$129.9705,$124.86
03/03/2020,$124.7632,7896068,$130.1641,$131.7273,$123.6985
03/02/2020,$129.9899,8531415,$126.5538,$130.1254,$123.8437
02/28/2020,$125.9731,13012230,$125.8085,$126.8829,$122.3047
02/27/2020,$128.8381,8421125,$132.8355,$134.239,$128.7413
02/26/2020,$135.265,5409537,$138.3139,$139.4367,$135.1198
02/25/2020,$137.1621,6211547,$141.808,$142.3501,$136.7275
02/24/2020,$141.7306,5452408,$140.8401,$143.2986,$140.7143
02/21/2020,$145.0312,3537258,$146.1927,$146.1927,$144.0633
02/20/2020,$146.3669,2880709,$145.97,$146.754,$144.7118
02/19/2020,$146.0184,2733277,$146.6766,$147.0154,$145.4861
02/18/2020,$146.2507,3343514,$144.9828,$146.5217,$144.8376
02/14/2020,$145.8636,6099244,$149.4642,$149.5997,$144.9634
02/13/2020,$149.3577,3820697,$149.4158,$149.861,$148.4866
02/12/2020,$150.3256,4438007,$148.8157,$150.6063,$148.5931
02/11/2020,$148.5544,3835112,$150.1417,$150.2385,$147.8288
02/10/2020,$149.4739,5239807,$148.0607,$149.4835,$146.7153
02/07/2020,$148.4866,6423429,$149.59,$150.5482,$148.0123
