Date,Close/Last,Volume,Open,High,Low
10/05/2021,$133.42,698780,$133.35,$134.07,$133.23
10/04/2021,$133.77,456311,$135.17,$135.21,$133.09
10/01/2021,$135.95,488680,$136.10,$136.19,$133.955
09/30/2021,$135.04,458625,$135.84,$136.28,$134.95
09/29/2021,$136.34,432625,$137.53,$137.72,$136.07
09/28/2021,$137.57,716804,$139.05,$139.13,$137.455
09/27/2021,$142.50,360939,$142.14,$142.59,$141.27
09/24/2021,$142.59,451661,$142.24,$142.78,$141.55
09/23/2021,$144.88,297371,$143.88,$145.00,$143.67
09/22/2021,$141.79,320164,$141.78,$142.5425,$141.23
09/21/2021,$141.83,668017,$142.02,$142.82,$141.20
09/20/2021,$139.17,829371,$139.41,$140.36,$138.12
09/17/2021,$143.32,549338,$145.06,$145.14,$142.39
09/16/2021,$144.86,448803,$144.73,$144.989,$143.76
09/15/2021,$144.25,735849,$145.55,$145.68,$143.30
09/14/2021,$145.15,1336305,$145.09,$145.54,$144.47
09/13/2021,$145.27,542058,$145.93,$146.10,$144.68
09/10/2021,$145.07,434374,$146.67,$146.96,$144.96
09/09/2021,$145.68,345922,$146.52,$147.00,$145.47
09/08/2021,$146.73,544757,$147.26,$147.79,$146.63
09/07/2021,$149.62,383317,$150.72,$150.91,$149.61
09/03/2021,$149.83,479165,$148.16,$150.00,$147.715
09/02/2021,$148.98,211539,$149.57,$149.67,$148.86
09/01/2021,$150.11,363470,$150.78,$151.48,$150.08
08/31/2021,$150.14,451016,$150.36,$150.75,$149.31
08/30/2021,$149.88,291041,$148.79,$149.94,$148.545
08/27/2021,$148.72,338146,$147.55,$149.06,$147.43
08/26/2021,$147.13,261116,$147.26,$147.75,$146.86
08/25/2021,$146.98,358269,$147.43,$147.69,$146.84
08/24/2021,$148.23,290088,$147.85,$148.69,$147.60
08/23/2021,$148.95,259349,$147.73,$149.08,$147.18
08/20/2021,$147.84,305883,$147.43,$147.97,$147.15
08/19/2021,$147.02,543116,$145.56,$147.62,$145.55
08/18/2021,$147.58,317196,$148.71,$149.06,$147.52
