Date,Close,Layoffs,Pct_Change,Direction_Change
03/16/2021,213.48,0,2.5,1
03/23/2021,212.99,0,-0.23,-1
03/30/2021,208.97,0,-1.89,-1
04/07/2021,218.55,0,4.58,1
04/14/2021,228.9,0,4.74,1
04/21/2021,230.79,0,0.83,1
04/28/2021,234.28,0,1.51,1
05/05/2021,224.2,0,-4.3,-1
05/12/2021,214.91,0,-4.14,-1
05/19/2021,216.05,0,0.53,1
05/26/2021,226.15,0,4.67,1
06/03/2021,233.12,0,3.08,1
06/10/2021,237.66,0,1.95,1
06/17/2021,243.19,0,2.33,1
06/24/2021,243.2,0,0.0,1
07/01/2021,244.3,0,0.45,1
07/09/2021,247.55,0,1.33,1
07/16/2021,241.07,0,-2.62,-1
07/23/2021,243.26,0,0.91,1
07/30/2021,244.21,0,0.39,1
08/06/2021,245.46,0,0.51,1
08/13/2021,246.99,0,0.62,1
08/20/2021,251.32,0,1.75,1
08/27/2021,263.07,0,4.68,1
09/03/2021,265.96,0,1.1,1
09/13/2021,259.98,0,-2.25,-1
09/20/2021,257.93,0,-0.79,-1
09/27/2021,272.06,0,5.48,1
10/04/2021,272.02,0,-0.01,-1
10/11/2021,273.57,0,0.57,1
10/18/2021,287.36,0,5.04,1
10/25/2021,291.74,0,1.52,1
11/01/2021,298.22,0,2.22,1
11/08/2021,306.22,0,2.68,1
11/15/2021,304.9,0,-0.43,-1
11/22/2021,303.22,0,-0.55,-1
11/30/2021,289.3,0,-4.59,-1
12/07/2021,259.35,0,-10.35,-1
12/14/2021,263.6,0,1.64,1
12/21/2021,253.17,0,-3.96,-1
12/29/2021,254.85,0,0.66,1
01/05/2022,248.16,0,-2.63,-1
01/12/2022,231.95,0,-6.53,-1
01/20/2022,227.03,0,-2.12,-1
01/27/2022,216.16,0,-4.79,-1
02/03/2022,224.93,0,4.06,1
02/10/2022,218.67,0,-2.78,-1
02/17/2022,208.06,0,-4.85,-1
02/25/2022,198.98,0,-4.36,-1
03/04/2022,207.51,0,4.29,1
03/11/2022,197.9,0,-4.63,-1
03/18/2022,204.81,0,3.49,1
03/25/2022,213.61,0,4.3,1
04/01/2022,215.22,0,0.75,1
04/08/2022,205.43,0,-4.55,-1
04/18/2022,192.48,0,-6.3,-1
04/25/2022,180.17,0,-6.4,-1
05/02/2022,176.8,0,-1.87,-1
05/09/2022,173.89,0,-1.65,-1
05/16/2022,163.97,0,-5.7,-1
05/23/2022,159.33,0,-2.83,-1
05/31/2022,160.88,0,0.97,1
06/07/2022,183.88,0,14.3,1
06/14/2022,177.05,0,-3.71,-1
06/22/2022,165.19,0,-6.7,-1
06/29/2022,176.47,0,6.83,1
07/07/2022,170.96,0,-3.12,-1
07/14/2022,168.14,0,-1.65,-1
07/21/2022,175.38,0,4.31,1
07/28/2022,178.36,0,1.7,1
08/04/2022,186.34,0,4.47,1
08/11/2022,187.5,0,0.62,1
08/18/2022,189.29,0,0.95,1
08/25/2022,178.13,0,-5.9,-1
09/01/2022,158.95,0,-10.77,-1
09/09/2022,155.64,0,-2.08,-1
09/16/2022,158.06,0,1.55,1
09/23/2022,149.48,0,-5.43,-1
09/30/2022,147.21,0,-1.52,-1
10/07/2022,153.12,90,4.01,1
10/14/2022,143.63,0,-6.2,-1
10/21/2022,154.41,0,7.51,1
10/28/2022,161.72,0,4.73,1
11/04/2022,151.7,1000,-6.2,-1
11/11/2022,149.56,0,-1.41,-1
11/18/2022,154.72,0,3.45,1
11/28/2022,150.68,0,-2.61,-1
12/05/2022,147.48,0,-2.12,-1
12/12/2022,131.62,0,-10.75,-1
12/19/2022,131.62,0,0.0,1
12/27/2022,129.61,0,-1.53,-1
01/04/2023,133.59,8000,3.07,1
01/11/2023,143.26,0,7.24,1
01/19/2023,147.89,0,3.23,1
01/26/2023,156.65,0,5.92,1
02/02/2023,168.74,0,7.72,1
02/09/2023,170.93,0,1.3,1
02/16/2023,169.46,0,-0.86,-1
02/24/2023,163.29,0,-3.64,-1
03/03/2023,173.42,0,6.2,1
